galaxy,Predicted,Energy_Allocated
"Holmberg II (DDO 50, UGC 4305)",0.123561393,50
Maffei 1,0.173092615,12.5
M110 (NGC 205),0.08260627,12.5
KKH 11 (ZOAG G135.74-04.53),0.116193225,12.5
ESO 540-032,0.082635977,12.5
NGC 2403,0.148562169,20
Phoenix II,0.121656033,14.28571429
UGC 4879 (VV124)[61],0.09610627,20
"Small Magellanic Cloud (SMC, NGC 292)",0.072778682,12.5
Ursa Major II Dwarf,0.173654325,50
NGC 2403,0.147879549,20
Pisces III (Andromeda XIII),0.103582572,12.5
DDO 99 (UGC 6817),0.11145859,50
Ursa Minor Dwarf,0.248763195,50
"Small Magellanic Cloud (SMC, NGC 292)",0.069378483,12.5
KKR 03 (KK98 230),0.356515975,20
ESO 325-11,0.093752883,12.5
Leo IV Dwarf,0.182568371,100
Canes Venatici I Dwarf,0.126659298,12.5
"Small Magellanic Cloud (SMC, NGC 292)",0.06663828,12.5
Tucana II,0.141501916,12.5
NGC 5102,0.182178478,12.5
Cas 1 (KK98 19),0.07681267,16.66666667
KKH 11 (ZOAG G135.74-04.53),0.108142003,12.5
NGC 185,0.068658305,12.5
Camelopardalis B,0.106064241,25
UGC 9128 (DDO 187),0.068080182,20
NGC 55,0.123402758,20
UGCA 276 (DDO 113),0.25916709,50
ESO 325-11,0.093083231,12.5
KKH 11 (ZOAG G135.74-04.53),0.116988059,12.5
Segue 2,0.121735718,12.5
Hydrus I,0.085897843,12.5
Leo P,0.196150893,20
ESO 321-014[70],0.081936437,50
Andromeda XXI[57],0.170965429,10
Fornax Dwarf (E356-G04),0.150557119,11.11111111
Triangulum II,0.170153124,12.5
Carina III,0.093885773,12.5
NGC 3741,0.23057882,12.5
Columba I,0.070773454,11.11111111
ESO 325-11,0.092225245,12.5
Andromeda XXVIII,0.129825929,50
NGC 3741,0.241430896,12.5
Segue 2,0.13060317,12.5
MB 1 (KK98 21),0.132049781,50
Andromeda III,0.110934474,12.5
Grus I,0.08051793,33.33333333
Leo P,0.20295643,20
UGC 8508 (I Zw 060),0.155918128,20
ESO 540-032,0.082410014,12.5
NGC 404,0.072110409,50
Cas 1 (KK98 19),0.097001886,16.66666667
Boötes II,0.081677922,50
Tucana II,0.137236928,12.5
MB 3,0.193465835,12.5
Dwingeloo 1,0.130336591,12.5
Camelopardalis B,0.106944509,25
ESO 325-11,0.099894095,12.5
Leo P,0.198059643,20
Pisces III (Andromeda XIII),0.107103033,12.5
Perseus I (Andromeda XXXIII),0.11737074,12.5
Perseus I (Andromeda XXXIII),0.103539108,12.5
Sagittarius Dwarf Sphr SagDEG,0.091545972,50
Cetus Dwarf,0.250400529,50
Columba I,0.085749979,11.11111111
Leo T Dwarf,0.212519099,12.5
"Small Magellanic Cloud (SMC, NGC 292)",0.0689177,12.5
MB 3,0.199505818,12.5
M110 (NGC 205),0.083281791,12.5
ESO 540-032,0.083043859,12.5
NGC 2403,0.147365666,20
Sculptor Dwarf (E351-G30),0.194500442,14.28571429
NGC 3741,0.241564529,12.5
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.153364236,12.5
Pegasus Dwarf Irregular (DDO 216),0.097740329,10
Phoenix II,0.127206546,14.28571429
Andromeda XXI[57],0.129335184,10
NGC 55,0.125020543,20
Maffei 1,0.149070465,12.5
NGC 4163 (NGC 4167),0.143103658,12.5
Sculptor Dwarf (E351-G30),0.194174881,14.28571429
Cas 1 (KK98 19),0.088426869,16.66666667
Willman 1,0.104472601,50
Pegasus Dwarf Sph (And VI),0.185779018,50
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.159553403,12.5
Fornax Dwarf (E356-G04),0.15144391,11.11111111
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.079961765,10
Boötes III,0.065547288,12.5
UGC 7577 (DDO 125),0.092703412,12.5
Donatiello I,0.175787792,12.5
Antlia 2,0.131520541,14.28571429
Grus I,0.093971366,33.33333333
Leo P,0.196630536,20
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.157988624,12.5
Boötes II,0.100886804,50
Canes Venatici I Dwarf,0.131646066,12.5
NGC 4163 (NGC 4167),0.124441586,12.5
Canes Venatici I Dwarf,0.118743311,12.5
Andromeda IX,0.16537804,12.5
M110 (NGC 205),0.072511724,12.5
Antlia 2,0.128647165,14.28571429
Fornax Dwarf (E356-G04),0.157454438,11.11111111
Andromeda V,0.181944264,12.5
Andromeda IX,0.159564624,12.5
NGC 5102,0.18716553,12.5
NGC 3741,0.21621667,12.5
Antlia 2,0.131520298,14.28571429
UGC 8508 (I Zw 060),0.152583708,20
GR 8 (DDO 155),0.066357239,20
Hydrus I,0.1011521,12.5
MB 1 (KK98 21),0.123762022,50
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.08142113,10
IC 10 (UGC 192),0.19508575,50
Pegasus Dwarf Irregular (DDO 216),0.085161514,10
ESO 294-010,0.225555631,20
NGC 5102,0.181724464,12.5
Triangulum II,0.188328882,12.5
Ursa Major I Dwarf (UMa I dSph),0.072687615,33.33333333
Sagittarius Dwarf Irregular Galaxy (SagDIG),0.089100271,10
MB 3,0.192593721,12.5
Andromeda IX,0.155707908,12.5
Donatiello I,0.172262321,12.5
Andromeda V,0.185088515,12.5
Tucana III,0.113445114,50
Andromeda IX,0.157456475,12.5
Fornax Dwarf (E356-G04),0.154688698,11.11111111
Canes Venatici I Dwarf,0.11670302,12.5
Andromeda IX,0.161515725,12.5
ESO 325-11,0.092768006,12.5
Canes Venatici II Dwarf,0.167981714,100
Andromeda IX,0.167782811,12.5
Triangulum II,0.16867008,12.5
MB 3,0.17292367,12.5
NGC 3741,0.247183328,12.5
NGC 3741,0.225177749,12.5
Antlia 2,0.134453386,14.28571429
M110 (NGC 205),0.093318462,12.5
NGC 5102,0.165966235,12.5
Maffei 1,0.140202392,12.5
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.154252296,12.5
Sculptor Dwarf (E351-G30),0.182502523,14.28571429
MB 3,0.186967867,12.5
Maffei 1,0.181705325,12.5
ESO 325-11,0.088969331,12.5
Andromeda III,0.118645107,12.5
NGC 5102,0.202398534,12.5
NGC 2403,0.148947086,20
Pegasus Dwarf Sph (And VI),0.168526968,50
Andromeda V,0.18890642,12.5
Columba I,0.069085954,11.11111111
NGC 55,0.119803022,20
ESO 410-G005,0.105530506,20
NGC 5102,0.189579077,12.5
Andromeda II,0.176487877,50
KK98 35,0.225998354,50
Leo T Dwarf,0.19956523,12.5
HIZSS 003,0.195782451,20
NGC 5102,0.183926452,12.5
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.153381555,12.5
Leo T Dwarf,0.241293776,12.5
Triangulum II,0.155213288,12.5
MB 3,0.191745475,12.5
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.154898586,12.5
"Cassiopeia Dwarf (Cas dSph, Andromeda VII)",0.168731367,12.5
Donatiello I,0.17437481,12.5
Donatiello I,0.183287494,12.5
UGC 9128 (DDO 187),0.063909514,20
Fornax Dwarf (E356-G04),0.151757215,11.11111111
Andromeda XV,0.132390997,50
NGC 3741,0.228803308,12.5
KK98 35,0.228857038,50
KKh 086,0.061738512,20
Leo P,0.197644674,20
Andromeda XV,0.155774246,50
Andromeda V,0.178944796,12.5
Maffei 1,0.170593442,12.5
Andromeda IX,0.149210516,12.5
Perseus I (Andromeda XXXIII),0.089099064,12.5
Triangulum II,0.170454994,12.5
Triangulum II,0.179943601,12.5
Fornax Dwarf (E356-G04),0.171215512,11.11111111
Indus II,0.102698621,33.33333333
Andromeda V,0.169644242,12.5
HIZSS 003,0.193889243,20
Leo T Dwarf,0.233369641,12.5
ESO 294-010,0.211254582,20
Triangulum II,0.16144081,12.5
ESO 294-010,0.227443784,20
Maffei 1,0.156195769,12.5
Indus II,0.121559942,33.33333333
Andromeda II,0.155679052,50
Andromeda V,0.196942815,12.5
Donatiello I,0.163516819,12.5
MB 3,0.196084704,12.5
Sculptor Dwarf (E351-G30),0.199743898,14.28571429
Sculptor Dwarf (E351-G30),0.19511102,14.28571429
Leo T Dwarf,0.212210957,12.5
Andromeda IX,0.15914976,12.5
IC 10 (UGC 192),0.207512676,50
M110 (NGC 205),0.080772658,12.5
Donatiello I,0.156493378,12.5
Triangulum II,0.196306037,12.5
Ursa Major II Dwarf,0.163303872,50
HIZSS 003,0.165580238,20
Sculptor Dwarf (E351-G30),0.199916694,14.28571429
UGC 8508 (I Zw 060),0.137802787,20
Leo T Dwarf,0.228473858,12.5
ESO 294-010,0.229448884,20
UGC 8508 (I Zw 060),0.141248511,20
Sculptor Dwarf (E351-G30),0.187303845,14.28571429
Andromeda V,0.169100204,12.5
Maffei 1,0.179735414,12.5
Phoenix Dwarf Galaxy (P 6830),0.177108808,50
Donatiello I,0.168714281,12.5
Andromeda V,0.185060447,12.5
Donatiello I,0.178843378,12.5
MB 3,0.195688111,12.5
Phoenix Dwarf Galaxy (P 6830),0.164752998,50
ESO 383-087 (ISG 39),0.11736871,12.5
NGC 247,0.268522835,12.5
ESO 325-11,0.090293449,12.5
ESO 540-032,0.078444903,12.5
KK98 77,0.067208457,12.5
