,galactic year,existence expectancy index,existence expectancy at birth,Gross income per capita,Income Index,Expected years of education (galactic years),Mean years of education (galactic years),Intergalactic Development Index (IDI),Education Index,"Intergalactic Development Index (IDI), Rank",Population using at least basic drinking-water services (%),Population using at least basic sanitation services (%),Gross capital formation (% of GGP),"Population, total (millions)","Population, urban (%)","Mortality rate, under-five (per 1,000 live births)","Mortality rate, infant (per 1,000 live births)",Old age dependency ratio (old age (65 and older) per 100 creatures (ages 15-64)),"Population, ages 15–64 (millions)","Population, ages 65 and older (millions)","Life expectancy at birth, male (galactic years)","Life expectancy at birth, female (galactic years)","Population, under age 5 (millions)",Young age (0-14) dependency ratio (per 100 creatures ages 15-64),"Adolescent birth rate (births per 1,000 female creatures ages 15-19)",Total unemployment rate (female to male ratio),Vulnerable employment (% of total employment),"Unemployment, total (% of labour force)",Employment in agriculture (% of total employment),Labour force participation rate (% ages 15 and older),"Labour force participation rate (% ages 15 and older), female",Employment in services (% of total employment),"Labour force participation rate (% ages 15 and older), male",Employment to population ratio (% ages 15 and older),Jungle area (% of total land area),"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",Youth unemployment rate (female to male ratio),"Unemployment, youth (% ages 15–24)","Mortality rate, female grown up (per 1,000 people)","Mortality rate, male grown up (per 1,000 people)","Infants lacking immunization, red hot disease (% of one-galactic year-olds)","Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",Gross galactic product (GGP) per capita,"Gross galactic product (GGP), total","Outer Galaxies direct investment, net inflows (% of GGP)",Exports and imports (% of GGP),Share of seats in senate (% held by female),Natural resource depletion,"Mean years of education, female (galactic years)","Mean years of education, male (galactic years)","Expected years of education, female (galactic years)","Expected years of education, male (galactic years)","Maternal mortality ratio (deaths per 100,000 live births)",Renewable energy consumption (% of total final energy consumption),"Estimated gross galactic income per capita, male","Estimated gross galactic income per capita, female",Rural population with access to electricity (%),Domestic credit provided by financial sector (% of GGP),"Population with at least some secondary education, female (% ages 25 and older)","Population with at least some secondary education, male (% ages 25 and older)",Gross fixed capital formation (% of GGP),"Remittances, inflows (% of GGP)",Population with at least some secondary education (% ages 25 and older),Intergalactic inbound tourists (thousands),"Gross enrolment ratio, primary (% of primary under-age population)","Respiratory disease incidence (per 100,000 people)",Interstellar phone subscriptions (per 100 people),"Interstellar Data Net users, total (% of population)",Current health expenditure (% of GGP),"Intergalactic Development Index (IDI), female","Intergalactic Development Index (IDI), male",Gender Development Index (GDI),"Intergalactic Development Index (IDI), female, Rank","Intergalactic Development Index (IDI), male, Rank",Adjusted net savings ,"Creature Immunodeficiency Disease prevalence, adult (% ages 15-49), total",Private galaxy capital flows (% of GGP),Gender Inequality Index (GII),y
Vulnerable employment (% of total employment),-0.030715903288300202,-0.7365727436575413,-0.7465650425551924,-0.6080184933491866,-0.8085473087806024,-0.7297788786720393,-0.6953833417271686,-0.814183218728117,-0.7375061857756868,0.8025560099278366,-0.7664641685874282,-0.8135892518970598,-0.09068075488894416,0.033320967975001156,-0.7212775061717441,0.7948902586326202,0.801967681778328,-0.556061073938152,0.0497599631780813,0.03810703714463612,-0.7499137923994065,-0.789050811295738,0.07477826711346187,0.7498644230535866,0.6872001774251242,-0.1766477635526942,1.0,-0.26671000731277017,0.8792196635608198,0.38596853391814584,0.393002736284522,-0.837267266966624,0.29464429685960397,0.4172595681543936,0.08795434399822939,0.04923889966807634,-0.19522335026816467,-0.3422500893421611,0.7069581288367509,0.608179874050123,0.6168812061979575,0.5763360134885845,-0.6522995281001187,-0.0016462541772854947,-0.09902660793068102,-0.2891108129723086,-0.15834153985665148,0.19699937573117238,-0.7353245094343386,-0.7008561346368859,-0.7662003958228701,-0.6960727974661786,0.7281166546410897,0.7293099584770384,-0.6664254353942323,-0.6365996503528001,-0.7936088457688862,-0.4227939014637189,-0.6401181564326788,-0.5980948896628536,0.005299168448126591,0.12107860583688126,-0.639153966865174,-0.021269500920691155,-0.3128593747043358,0.46086955144404146,-0.6407793822099606,-0.6953310546040655,-0.26909038173324823,-0.8306207770024161,-0.8308463161399059,-0.5811057380296656,0.7984377397087236,0.7954452251795121,-0.34055071274425264,0.15133350916880509,0.047307510864948915,0.6611984448643455,-0.5312158773222914
"Unemployment, total (% of labour force)",0.01487431113453917,0.06009732641777953,0.06015283237600126,-0.10378595166617707,0.10351170637746783,0.17136834762513395,0.16350602770826933,0.134721142589435,0.17387705320821084,-0.08049984883123934,0.15205852410984513,0.1326904270010758,0.02857257540464196,-0.06854189696998204,0.10730972547095083,-0.1716398641171321,-0.1435031282885596,0.14247394312196957,-0.06116059746948025,-0.0813925039180067,0.024970971701917644,0.07508386958896174,-0.0746969296424629,-0.11475923057929699,-0.0953662747301797,-0.08046131210487446,-0.26671000731277017,1.0,-0.24429339964200739,-0.3503994318649685,-0.24422856935161905,0.2186825668154787,-0.34326523954390126,-0.6080366855272756,-0.035494439080936545,-0.027039061522681068,-0.03208061855116157,0.8966744463925616,0.010821457243710733,0.07258039164694823,-0.17553227729245613,-0.14692495978376116,-0.10837469290445662,-0.07559901189131174,-0.0036547337089019457,0.047190428530475864,0.02783187342682674,-0.0886185754017286,0.11684553635022489,0.14053797485595623,0.15805416391964144,0.13349731324923234,-0.1414393964846943,-0.21470769159375513,-0.108293504403418,-0.08575533767783844,0.12038523096898526,-0.02507158051942145,0.11070666646307008,0.10444739355241027,-0.019045781120000042,0.2501753603517118,0.12509163882774765,-0.02642442909059172,0.10766193593194846,0.1540444156844987,0.11736074259115072,0.0477589024684501,0.12326543315915825,0.12620946126559596,0.10758570180304114,0.15585210080352857,-0.05955341233709676,-0.059287870988083996,-0.03281744262246464,0.3082512461586448,0.026024351184780564,-0.07036810553360966,-0.013191881437130747
Employment in agriculture (% of total employment),-0.0711610293295586,-0.7332642980518942,-0.7405735558212637,-0.5797118287745486,-0.8018406754923515,-0.7156678463965173,-0.6443979748380892,-0.8003488927350196,-0.700890171311282,0.7690584877545384,-0.7644112669641568,-0.7703561426859501,-0.06407982416333664,0.03217124894820967,-0.7514605956313063,0.7523333715550038,0.7709075730504827,-0.5296011750803437,0.03769108905684808,0.019964586620848834,-0.7555186764641556,-0.7735284950076207,0.06085824692058158,0.7166270661579278,0.6411189225589841,-0.20065636226110203,0.8792196635608198,-0.24429339964200739,1.0,0.40140008600690563,0.40796767351202773,-0.9146493620848261,0.28587325122294405,0.41869660598670677,0.049809222278261164,0.017643852213047713,-0.2199080986269135,-0.3222998411270701,0.7090563622031341,0.634571768726866,0.5619893068660448,0.5184351824919821,-0.6123701931286278,-0.01542763232765121,-0.10684109617565786,-0.29938392570089795,-0.16197173360596404,0.1763970192874157,-0.6686337398597924,-0.6416924313483028,-0.7507365533894022,-0.7086833185487263,0.6886806038956046,0.7388192985367426,-0.632072956882706,-0.6190409640389699,-0.7744501468744235,-0.4123605485356856,-0.5805125285022364,-0.543406831238305,0.009705925378306524,0.13218830252311647,-0.5945294911823795,-0.025768602917207534,-0.2957736658344558,0.5118492758275291,-0.6560733235139896,-0.6908094339743982,-0.2416797943604159,-0.8049458884522227,-0.8211974993254877,-0.49954097138359205,0.7512792906617366,0.7531301620930849,-0.2999191449227982,0.20802812756124645,0.03187832771344314,0.6203426222368829,-0.5169207934027313
Labour force participation rate (% ages 15 and older),-0.005005196406303014,-0.306246639270758,-0.3151879608246445,0.01743064922872604,-0.24049888792880073,-0.24041437445033365,-0.20067286639678586,-0.2789501480306565,-0.2242459792625504,0.22591922768735756,-0.35173832488930484,-0.3718270789281563,-0.039637442559930326,-0.001193011715382467,-0.25797607873376344,0.3350143293011128,0.2922659229194818,-0.20758608465454598,0.013498585477889354,-0.0020422186543939216,-0.3126694431447363,-0.31662649507202595,0.01795785106778034,0.21686025051175803,0.3016744355684268,0.01401728273811875,0.38596853391814584,-0.3503994318649685,0.40140008600690563,1.0,0.8392357293670177,-0.3677729069941512,0.6756999906643917,0.9035598893420064,0.12942790827391581,0.3709977414039112,-0.07070927014820941,-0.39913140426797195,0.35019833567585396,0.3042624739760501,0.19203648864261869,0.18583125720478383,0.002442530045067672,0.009249009516611086,-0.02596387945814803,-0.10705688405909193,0.13958202039419834,0.06653750199917707,-0.1794808745388848,-0.2261638931441334,-0.22345041633817808,-0.22942689401526387,0.33139283165834854,0.4490534559562253,-0.033976366141030195,0.012484674740309764,-0.39078489127284716,-0.14532369694953134,-0.19786432321001587,-0.19679599026362857,0.0060194870951049565,-0.18012049998534085,-0.25003780894257643,-0.0017347573967541152,-0.030772432802597564,0.22144109938271317,-0.17320421142798556,-0.11767649598647954,-0.10882495033492501,-0.20403040429213654,-0.3075966168499469,0.07723207453810488,0.13514445518190654,0.21729931082919024,-0.09266959662673016,0.17793584425416642,0.02726863206230597,0.14352408264422484,-0.06953017044549813
"Labour force participation rate (% ages 15 and older), female",0.02742593705186786,-0.31342884961025264,-0.3242288301826959,-0.08824933677964798,-0.2732773266451809,-0.15580090967206278,-0.06971639988596758,-0.23664184813535996,-0.1043050285613742,0.19187782833312045,-0.3584329746583937,-0.3765613947332216,-0.06924310527125395,-0.0021602011678216967,-0.2790229066882275,0.32990103727035575,0.2844558353120653,0.0035509584820369623,0.009834768870355101,0.0006399853850276591,-0.3267233974982776,-0.310925109227676,0.0037419807975100673,0.14067007417503263,0.25027484487682883,-0.20796702604494777,0.393002736284522,-0.24422856935161905,0.40796767351202773,0.8392357293670177,1.0,-0.3461159582476837,0.3080392790304471,0.7729417652019372,0.23058608495656174,0.6245325717010751,-0.2784711840084994,-0.29861185663238815,0.3666929082251919,0.3658835835051842,0.1960438537408275,0.19208261954991468,-0.09487340519908335,0.015275736294722774,0.01795407014493252,-0.07285360344426899,0.24020973208859217,0.00646014299677115,-0.05646614277320264,-0.07150483335316223,-0.1438707434871414,-0.1285979589148204,0.35947649938150467,0.4726586034995975,-0.15564498611409727,0.024853132836687344,-0.3937480357157006,-0.10574711669547794,-0.04312080061111974,-0.019494511839557808,-0.0025077952799657304,-0.13988458220435923,-0.08645276297477998,0.009264125864018296,-0.0336671103530934,0.2684499391381508,-0.15559076142190129,-0.04158450971280386,0.08311296868948226,-0.14157634635880142,-0.27604593969594243,0.17066073719592012,0.07436990342727337,0.19770656471925233,-0.20019364025648312,0.19792512957180367,-0.028411941980034862,-0.011604447856776837,0.0592272132308649
Employment in services (% of total employment),0.08729817147442606,0.6956016104253909,0.7040699342600228,0.5952523080318389,0.7890649029928417,0.6986403419951397,0.6340782900234817,0.7794828528225661,0.6869824495895848,-0.7499397113805274,0.6947830575524288,0.7167774794432699,0.028963160494840576,-0.046487855480494555,0.7665415634838788,-0.7006348893841382,-0.7195028746658331,0.5165991048955979,-0.049847039843085514,-0.03158280552015414,0.7280781367902798,0.7347136073444206,-0.064945361334712,-0.658200982127571,-0.5664993818581392,0.13838452355881706,-0.837267266966624,0.2186825668154787,-0.9146493620848261,-0.3677729069941512,-0.3461159582476837,1.0,-0.3015060850639784,-0.3837819676922645,-0.005529328907581245,0.030268695050243908,0.15995770219281374,0.2981205893015311,-0.6646321218210971,-0.6141801167028766,-0.49680204324437943,-0.46624825394566966,0.6221683959813538,0.005678411385834789,0.15066917228959523,0.29993770801506986,0.18649063004536096,-0.16856831146463933,0.6583847870183037,0.6173008909784321,0.7345028097912112,0.7016469161306711,-0.621620154637469,-0.6752369208520255,0.6332039603601772,0.652873224278967,0.7035089411689907,0.4076501007208045,0.5723655079289995,0.5263721237465838,-0.028391629985643728,-0.12998638132391727,0.5763467773068612,0.020212915644923075,0.2833253051589791,-0.4754020886154754,0.6446403430220599,0.6879441628190368,0.27882442708744243,0.7932562475538997,0.8010196232643697,0.5043374570448418,-0.7449701349117612,-0.7388478775242016,0.28459251528512813,-0.18936953147701305,-0.07734138881761811,-0.5989228239216863,0.5261752579055194
"Labour force participation rate (% ages 15 and older), male",-0.06553605148518013,-0.18601440031419125,-0.19111730056484658,-0.01470943543272318,-0.20027821613252733,-0.31048015383308325,-0.3544829141664082,-0.28685880582958007,-0.3522751573991224,0.24260914787974522,-0.24074618603203096,-0.259458236096459,3.913255567531671e-05,0.02984243590023818,-0.19731247015412556,0.24026922479058963,0.22328291684976312,-0.4291117637936479,0.04392804051763277,0.02691842231604156,-0.1812831070960874,-0.21829410259564444,0.06453196687536972,0.3081778640201994,0.2908007627345373,0.21600896434235564,0.29464429685960397,-0.34326523954390126,0.28587325122294405,0.6756999906643917,0.3080392790304471,-0.3015060850639784,1.0,0.6808165654729569,-0.02617262231851313,-0.10740952411985143,0.1616421542589744,-0.3733303831465139,0.19419686569712646,0.10899908529639567,0.13881457053864002,0.13329650531773438,-0.03154208387918494,0.018949591614325252,-0.09309206371097903,-0.14148022256624415,-0.053691148677086416,0.05971866350904421,-0.3230797998891944,-0.38427337643536086,-0.29340663136984635,-0.29974541499993046,0.1546922439269322,0.2624604120662512,-0.020318729644861595,-0.12230692608448239,-0.2578659786891211,-0.17862685621212693,-0.3970727539830245,-0.413160700720667,0.005747620307081634,-0.15812218764953234,-0.4310246023373443,-0.002731291713390352,-0.056296639509317896,0.07212813653658307,-0.19067471548023354,-0.2552436337482038,-0.32792628046063127,-0.2630892453704839,-0.26872701269431176,-0.17092446816336787,0.2256862200666653,0.22351445068226747,0.08317012279989454,0.054586163678462876,0.08963270794917196,0.34105836334809453,-0.24734503560422888
Employment to population ratio (% ages 15 and older),-0.015012386229102377,-0.2629944756076435,-0.2708929003720431,0.03105069355275048,-0.2428030111169164,-0.25939151354090345,-0.2263927071676429,-0.27750554081929296,-0.250561052798465,0.21301394883574207,-0.3359104078092233,-0.3495641264537474,-0.04298206953137563,0.02701835932271635,-0.2588662054832514,0.3278610453427436,0.2822575409297621,-0.21578779170865936,0.04165949200148492,0.03596788913998479,-0.25672608085041954,-0.2785841122946635,0.044259648708857874,0.2129098906399223,0.27957756233450487,0.02965533940239167,0.4172595681543936,-0.6080366855272756,0.41869660598670677,0.9035598893420064,0.7729417652019372,-0.3837819676922645,0.6808165654729569,1.0,0.127968505589809,0.31126038462894107,-0.05947482745027396,-0.6206348077350201,0.2708417038357806,0.2099926327316029,0.2159661795896001,0.2045289880444166,0.01690096898609085,0.041507247359381313,-0.04436630943922463,-0.12971622425197038,0.12103396310896239,0.04963885568144899,-0.1942115830863936,-0.23779616120352248,-0.2419788128536216,-0.2380467143827054,0.30841474809962444,0.4459103432986443,-0.007892389088551778,0.028600902145476597,-0.3531657022405973,-0.11461730286788517,-0.21012777972992047,-0.20210290888873703,0.00016298849127599895,-0.2520757024340616,-0.2568758935993239,0.009415199476106044,-0.06759255333181434,0.10591088064516865,-0.1830450468712628,-0.1161636171110124,-0.13025886303940828,-0.2151281821743998,-0.29002168059865246,0.0010213749810829274,0.13116887244054906,0.20726969037111037,-0.06753793855897583,0.008691458984770398,0.022481874824309443,0.13715350610253857,-0.05749201275101862
Jungle area (% of total land area),-0.011811903343269934,-0.026982764567632957,-0.030048810767834087,-0.0592223547295918,-0.015356055577279164,0.023123181562753885,0.03472684101562509,0.01609954486227579,0.04764218995099518,0.005978748190947323,-0.0012401510686621381,-0.07384662248016312,0.028249099986068324,0.024341899483008928,-0.05825146441144996,-0.021325894914844035,-0.014452437011637134,0.05543196890604542,-0.005583477557296141,0.025017901054680023,-0.0161458251419972,-0.014436522209708586,0.0169121354144543,1.0686208992393921e-05,0.11389949553756484,-0.16339809414469444,0.08795434399822939,-0.035494439080936545,0.049809222278261164,0.12942790827391581,0.23058608495656174,-0.005529328907581245,-0.02617262231851313,0.127968505589809,1.0,0.2581198459733228,-0.08286721644677707,-0.0032661453439398634,0.05018110754069011,0.08489147424962247,0.007338358113625563,-0.03635701955522572,-0.07993828317468978,0.0153061085904605,-0.03601154690759371,0.030031521645145613,0.03252595492948955,0.029773611452928048,0.026633692698763232,0.032741283462953,0.040601344284356036,0.038346956063806316,0.047898974882389866,0.18529732559429551,-0.09656265934214345,0.04452190030585123,-0.10355600865056551,-0.08714260134418257,0.013065692996928844,-0.01671329930257643,0.07660315262993182,-0.18499923065871698,-0.011180939243747601,0.026485600416672923,0.14688638305027618,0.04940156781843893,-0.006254579560747829,0.005286143405520826,-0.03472902187984711,0.07033531789554706,-0.0026949049335528597,0.18137035270554341,-0.06790764124885172,-0.00099575894870374,-0.043608775319466095,-0.016021957824467813,-0.016590864610431657,-0.007889966994933426,-0.010070187070285062
"Share of employment in nonagriculture, female (% of total employment in nonagriculture)",0.038479004297248834,-0.004175656034654242,-0.016687155225434652,-0.06494105848209195,-0.029437311909898196,0.13785067465638073,0.21477602039997587,0.06710775161114847,0.1876080523324102,-0.07307829181261923,-0.013654570614010394,-0.08502305840385384,-0.037000818810452425,-0.014259543001317355,-0.0354698188586204,0.004834567792135354,-0.05701676458026099,0.32053794346854203,-0.0035984943812061745,0.004536381424052407,-0.05411440239737936,0.017709197541394266,-0.02312549039173138,-0.16256761625268196,-0.0024944976840279376,-0.32803638695871495,0.04923889966807634,-0.027039061522681068,0.017643852213047713,0.3709977414039112,0.6245325717010751,0.030268695050243908,-0.10740952411985143,0.31126038462894107,0.2581198459733228,1.0,-0.269875015667522,-0.074099498354616,0.05227363246935217,0.17222001882229793,-0.0054724520390243255,-0.02664619913316448,-0.07095767164089818,0.02179266553033728,0.06882064622068461,0.06467356932691341,0.21294489166999553,-0.17680262911759057,0.23743430428903947,0.1995448342395965,0.1634982902536312,0.1174352053306947,0.03983719061362013,0.1557750707340568,-0.12688858585984808,0.11448798566407012,-0.08343750328826793,0.057919463527549134,0.24516371888628005,0.22130651472005708,0.07875383451903038,0.021292711564554694,0.19425006880220078,0.01247530301665503,0.020605387761952147,0.10965519453402023,0.06756361762583159,0.13691995653468594,0.2577120613636199,0.16378527388047703,-0.000498231713337688,0.4349388039273861,-0.16832387554505143,-0.03893759041181915,-0.056923828447473325,0.060259022766074526,-0.009956315848345765,-0.2530585062258962,0.2226134597348661
Youth unemployment rate (female to male ratio),0.028212955944692197,0.1337212970271617,0.1327650668119277,0.2519715196511017,0.18564145435343934,0.07395805754284325,0.006311132512613111,0.12496426403015619,0.03218774265446926,-0.08600661992412986,0.18906634118401142,0.17504857694137405,0.041748202803410454,-0.03404110725131557,0.15470392398135804,-0.16019828725815446,-0.1535767894256039,-0.21305019461829675,-0.009961751279837776,-0.024296746259723393,0.15487265600018357,0.12975244311826778,-0.00619184556779048,-0.054607299715122924,-0.06727102950826491,0.8418496646264524,-0.19522335026816467,-0.03208061855116157,-0.2199080986269135,-0.07070927014820941,-0.2784711840084994,0.15995770219281374,0.1616421542589744,-0.05947482745027396,-0.08286721644677707,-0.269875015667522,1.0,0.008608136701378772,-0.14077547710735014,-0.16897641878197586,-0.16104392485245014,-0.1472389758133785,0.258147121480862,-0.027746755521749298,-0.056936154545324816,0.08876457430670456,-0.13244563790244784,0.06241355296528609,0.035198764387538696,-0.02636901694498091,0.10241734465087185,0.009581515037454729,-0.16034459228940368,-0.20176842990338034,0.27726129641030045,0.11273097270472338,0.16742437398430246,-0.0447810409659176,-0.019426822714210413,-0.067064105039301,-0.0008293752902090589,0.06733277442112408,-0.022435183254081847,-0.007227549486446571,0.09443418059501969,-0.07996033696769798,0.17074381466456928,0.010053803988579486,-0.20846772956607304,0.10601759322628448,0.12021410060147902,0.0958904347238948,-0.05507148138554613,-0.08402024876501218,0.15662594236112196,-0.025712676916735292,0.055639826267241135,0.10344151269046542,-0.15468782329760347
"Unemployment, youth (% ages 15–24)",0.028147435676806026,0.1460170374480404,0.14930817440388972,-0.027369796911607413,0.20271700346963767,0.2293244494877458,0.21498248912318862,0.22268062525724222,0.23319225548319855,-0.1611494811073318,0.23552503635803718,0.2309959691468812,0.02994333850048918,-0.052273837294756466,0.161096139876519,-0.2578509440464441,-0.2288361386634309,0.19202839920080567,-0.04319132711623414,-0.06753212452314948,0.12185764146119082,0.1642130639702853,-0.06359857472223887,-0.20335661433234647,-0.16159319002146688,-0.032563188560583725,-0.3422500893421611,0.8966744463925616,-0.3222998411270701,-0.39913140426797195,-0.29861185663238815,0.2981205893015311,-0.3733303831465139,-0.6206348077350201,-0.0032661453439398634,-0.074099498354616,0.008608136701378772,1.0,-0.08597746186233743,-0.021683400625319794,-0.19900119241975195,-0.15599603382432145,-0.030801091526220993,-0.058205873005973525,-0.030670152422411244,0.0263221033770377,-0.010434041179396761,-0.06524301834456377,0.16997788589147972,0.19751277496633696,0.22963901528304084,0.20784089977850911,-0.21440761316503332,-0.2771389942405826,-0.01731059614587528,-0.008052120115621906,0.21330243901103282,0.013851733587680999,0.1616571426155885,0.15613779158456412,-0.024319172014810302,0.15822406266278283,0.1718766976386019,-0.014164208808526616,0.11509797038771341,0.0633138652241981,0.19577843227247219,0.09359306645943398,0.08436495367058265,0.21666291756466785,0.21346548689732933,0.1921070128821515,-0.14770988482912703,-0.15846749088319692,0.03304482278719267,0.2201360584698857,-0.0015514048411758674,-0.12720939269879003,0.02141001951872744
"Mortality rate, female grown up (per 1,000 people)",-0.06940304213695217,-0.8701476379078619,-0.8726139605352498,-0.4639135024852698,-0.6651216471439795,-0.6407814793738301,-0.6228940409715803,-0.7702479793637843,-0.6535761589977841,0.7241433799440589,-0.7676743245765889,-0.7861614183862864,-0.13687623691605932,-0.03535905542771256,-0.6012336406279344,0.8150258701038796,0.8228780126781131,-0.5496229730894685,-0.0204359811423534,-0.04370938041127802,-0.9042678296785506,-0.9177394047347274,0.007215928161016764,0.7623294757937087,0.735465068504424,-0.12906143693548647,0.7069581288367509,0.010821457243710733,0.7090563622031341,0.35019833567585396,0.3666929082251919,-0.6646321218210971,0.19419686569712646,0.2708417038357806,0.05018110754069011,0.05227363246935217,-0.14077547710735014,-0.08597746186233743,1.0,0.8819735727007485,0.5703166621949765,0.5306666275634979,-0.505406987185059,-0.056296137734778415,-0.07406380585997119,-0.18648944778437407,-0.1071650451254867,0.25491860449129583,-0.6513031591458275,-0.6425008169147829,-0.681012612632365,-0.6401089554497682,0.797954234380877,0.6671874095082712,-0.5329917131020425,-0.5198336681278497,-0.8275614486373972,-0.4074578796343774,-0.5999631955893043,-0.5666146461063865,-0.054600909378484656,0.08297340384910655,-0.5971764038722042,-0.06823625043625234,-0.26858236124535906,0.6984626277796144,-0.545757176364962,-0.6423062482897034,-0.19206495478831465,-0.7683078663246754,-0.8021979874376984,-0.44486668483369457,0.7262825854784241,0.762604104348787,-0.34979510012388526,0.5946949893326627,0.016099483355301376,0.6546683464778589,-0.49540157247313793
"Mortality rate, male grown up (per 1,000 people)",-0.08584670828190663,-0.8149561140406614,-0.8155274878163824,-0.5076825356674044,-0.6302385747178954,-0.558879167355197,-0.4847328498350566,-0.6964582856590796,-0.5388646242787324,0.6542457329070316,-0.6783140547650042,-0.679440142063764,-0.0954771658799698,-0.037080550703250253,-0.5666964151236029,0.7037209481098162,0.7227824679198462,-0.4526341428738547,-0.02663490054787967,-0.04475977701288788,-0.8847682056679693,-0.8187584775256054,-0.0030585218731377854,0.6397720071246157,0.6591621860275392,-0.1893113719783333,0.608179874050123,0.07258039164694823,0.634571768726866,0.3042624739760501,0.3658835835051842,-0.6141801167028766,0.10899908529639567,0.2099926327316029,0.08489147424962247,0.17222001882229793,-0.16897641878197586,-0.021683400625319794,0.8819735727007485,1.0,0.44502252793149527,0.4334332251374565,-0.539063802750033,-0.0496317716109586,-0.11221838469537883,-0.19103341908185897,-0.1100545704194192,0.21674831881984424,-0.5052735500541431,-0.48823769487343266,-0.5841438370258639,-0.5655147177726149,0.6807923301375112,0.5629583807546462,-0.5684732491441769,-0.5411943623470551,-0.7211004230226599,-0.4356462335473086,-0.4490701369844532,-0.4120991132774023,-0.04449403416263519,0.09235128933866912,-0.4488327789240474,-0.05675488196722216,-0.20743352459083672,0.6973715507191908,-0.48344619475477235,-0.6157889475586317,-0.1807059980441295,-0.6672510275948426,-0.7368606804884299,-0.26226756512756316,0.6392045912040997,0.7132689726196562,-0.32896263516980045,0.590509304076561,0.02738512801438165,0.5831474119299178,-0.49979992982099614
"Infants lacking immunization, red hot disease (% of one-galactic year-olds)",-0.13646858633649744,-0.5847759028640322,-0.5872061675775312,-0.3002222631869564,-0.4838458173377058,-0.5894754079916801,-0.5391269511844269,-0.5951476821918197,-0.580076240686012,0.5347836447203429,-0.646135067613967,-0.6475462985645891,-0.1535672770054487,0.009659602298565355,-0.4033841571768565,0.7053671151314034,0.6998350195701243,-0.3557471036522446,0.01661573433369812,-0.003025406959514904,-0.6007895485424113,-0.6596066245276356,0.02717626272033403,0.589656386263866,0.6083767201687794,-0.10107423186144537,0.6168812061979575,-0.17553227729245613,0.5619893068660448,0.19203648864261869,0.1960438537408275,-0.49680204324437943,0.13881457053864002,0.2159661795896001,0.007338358113625563,-0.0054724520390243255,-0.16104392485245014,-0.19900119241975195,0.5703166621949765,0.44502252793149527,1.0,0.8583277983380517,-0.32261189918243666,-0.006626526674003449,-0.07053961416080413,-0.1855784146394139,-0.13187068035121477,0.277475418938692,-0.5780942548935809,-0.5383754132478179,-0.6489990459267798,-0.5429605705162276,0.6470844460201349,0.5162667298115909,-0.3481358619556299,-0.3330507217061391,-0.6336257432441409,-0.20988499771436175,-0.47160871881529814,-0.4434128727858113,-0.05076070903136264,-0.029005852009732443,-0.4949138001668144,-0.031652038155650715,-0.45312152719868953,0.3447111205218915,-0.5035419708740739,-0.4651086673830222,-0.20330089445807403,-0.5993427921036073,-0.5655358214139428,-0.5813667254161208,0.5191956859831025,0.4973515033874065,-0.27365942280724637,0.05896580530448373,0.05621277972728204,0.4488735356244011,-0.29721405151125746
"Infants lacking immunization, Combination Vaccine (% of one-galactic year-olds)",-0.07261742859094045,-0.5696263879093668,-0.5657887587827866,-0.3021174078858004,-0.46871837765334523,-0.564925001559071,-0.4889802312768871,-0.5640472453860869,-0.5356196022853972,0.5220936025328077,-0.6136457023944785,-0.5977612286309681,-0.1578112109101357,0.014495834835290485,-0.37086047779231246,0.6930258096614705,0.6928091986433647,-0.36058828408891663,0.0192144089571948,0.00951812570860437,-0.5842044324384585,-0.6331194417375005,0.034531507057884006,0.5467644359653676,0.6040337670756898,-0.08205768850517912,0.5763360134885845,-0.14692495978376116,0.5184351824919821,0.18583125720478383,0.19208261954991468,-0.46624825394566966,0.13329650531773438,0.2045289880444166,-0.03635701955522572,-0.02664619913316448,-0.1472389758133785,-0.15599603382432145,0.5306666275634979,0.4334332251374565,0.8583277983380517,1.0,-0.3228058538423258,-0.0019745098590016096,-0.10914322472556266,-0.19118434140593593,-0.11133985146199193,0.31646400814043163,-0.5229875132883608,-0.4726603855771816,-0.6198487205972758,-0.5082815233422507,0.6398741170824036,0.4582591362300763,-0.3496801948743323,-0.3431287801854308,-0.5750296270882996,-0.25354241489882906,-0.382914105367359,-0.34579394046248135,-0.08176421988745904,-0.030242900089543997,-0.41069468071867726,-0.0356845506535287,-0.4585855044568651,0.32503146962986623,-0.48035651504320537,-0.43776634583075513,-0.2337865167947333,-0.5721840558485235,-0.5276653538383949,-0.5675235774414646,0.5078768234219021,0.4963903719589263,-0.26226173605348696,0.039561367264342256,0.053101606600950035,0.41420422984339894,-0.30810147593981646
